City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
306,Choa Saidan Shah,PK,32.72,72.98,79.93,71,3,4.85,clear sky
307,Aksu,CN,41.12,80.26,74.3,31,0,1.63,clear sky
308,Krasnoarmeysk,RU,51.02,45.7,70.0,33,5,4.0,clear sky
309,Viedma,AR,-40.81,-63.0,48.99,78,44,4.0,scattered clouds
310,Fjellstrand,NO,59.8,10.62,53.01,1,6,2.73,clear sky
311,Glen Allen,US,37.67,-77.51,84.2,70,1,9.17,clear sky
312,Misratah,LY,32.38,15.09,77.85,73,1,10.0,clear sky
313,Aguimes,ES,27.91,-15.45,75.2,73,20,32.21,few clouds
314,Itaituba,BR,-4.28,-55.98,80.8,61,79,2.95,broken clouds
315,Kaberamaido,UG,1.74,33.16,64.38,91,57,4.85,broken clouds
316,Kalmunai,LK,7.42,81.82,77.11,85,100,5.37,overcast clouds
317,Salalah,OM,17.02,54.09,75.2,100,90,6.93,light intensity drizzle
318,Kulhudhuffushi,MV,6.62,73.07,82.96,73,88,11.79,overcast clouds
319,Angoche,MZ,-16.23,39.91,70.23,87,2,1.1,clear sky
320,Hauknes,NO,66.28,14.07,46.0,89,85,1.01,overcast clouds
321,Pangody,RU,65.85,74.49,51.46,94,100,7.83,light rain
322,Moroni,KM,-11.7,43.26,75.06,68,8,6.17,clear sky
323,High Rock,BS,26.62,-78.28,86.0,84,20,14.99,few clouds
324,George Town,MY,5.41,100.34,80.6,94,20,3.36,few clouds
325,Los Llanos De Aridane,ES,28.66,-17.92,75.2,78,15,17.22,few clouds
326,Sawakin,SD,19.11,37.33,90.12,50,24,5.61,few clouds
327,Senigallia,IT,43.71,13.22,72.0,88,49,3.36,light rain
328,Hrodna,BY,53.69,23.83,58.21,84,97,5.35,overcast clouds
329,Pokaran,IN,26.92,71.92,83.7,76,98,14.25,heavy intensity rain
330,Chicama,PE,-7.84,-79.15,61.18,79,0,7.29,clear sky
331,Bandarbeyla,SO,9.49,50.81,75.24,78,0,27.36,clear sky
332,Novosokolniki,RU,56.35,30.16,54.75,96,3,5.14,clear sky
333,Farah,AF,32.5,62.5,70.86,36,0,3.62,clear sky
334,Maarianhamina,AX,60.1,19.93,51.8,93,61,1.12,shower rain
335,Ust-Tsilma,RU,65.44,52.15,55.0,95,96,3.27,overcast clouds
336,Doka,SD,13.52,35.77,70.63,95,100,9.78,overcast clouds
337,Altay,CN,47.87,88.12,62.1,39,64,5.44,broken clouds
338,Yozgat,TR,39.58,35.33,51.51,62,0,4.38,clear sky
339,Zholymbet,KZ,51.74,71.71,51.82,82,26,8.19,scattered clouds
340,Novo Aripuana,BR,-5.12,-60.38,79.93,39,0,0.81,clear sky
341,Oussouye,SN,12.48,-16.55,80.6,94,40,2.24,scattered clouds
342,Seydisehir,TR,37.42,31.85,58.8,35,0,2.04,clear sky
343,San Rafael,AR,-34.62,-68.33,58.84,34,0,12.84,clear sky
344,Manama,BH,26.22,50.58,93.2,59,86,9.17,overcast clouds
345,Ruwi,OM,23.6,58.55,82.4,83,79,6.93,broken clouds
346,Valenca,BR,-13.37,-39.07,68.59,83,30,6.51,scattered clouds
347,Nara,JP,34.69,135.8,87.01,66,20,4.7,few clouds
348,Beni,CD,0.5,29.47,61.29,100,56,1.68,broken clouds
349,Timbiqui,CO,2.77,-77.67,75.87,87,97,8.03,light rain
350,Darfo,IT,45.88,10.18,70.0,73,20,2.24,few clouds
351,Kayerkan,RU,69.35,87.76,55.4,87,63,6.71,broken clouds
352,Hambantota,LK,6.12,81.12,78.24,85,83,11.14,broken clouds
353,Muyezerskiy,RU,63.93,31.65,48.61,85,90,8.19,overcast clouds
354,Talara,PE,-4.58,-81.27,61.07,86,1,19.26,clear sky
355,Tutrakan,BG,44.05,26.62,75.99,64,23,10.29,few clouds
356,Toktogul,KG,41.87,72.94,69.87,34,7,2.1,clear sky
357,Sao Felix Do Xingu,BR,-6.64,-51.99,79.03,58,65,2.26,broken clouds
358,Mlyniv,UA,50.51,25.62,59.0,98,71,1.03,broken clouds
359,Frankenberg,DE,51.07,8.8,55.0,87,1,1.12,clear sky
360,Abnub,EG,27.27,31.15,78.8,47,0,8.05,clear sky
